icon_id,screen,control,depicts,prompt_keywords,style_constraints,licence,status
comfort-1-starting,"setup step 4","Gym comfort slider, lowest level","a person stretching, calm, ground level","person stretching floor warm-up simple","flat single-colour silhouette, no gradient, no text, legible at 24 px","original, this project",specified
comfort-2-machines,"setup step 4","Gym comfort slider, middle level","a selectorised gym machine seen side-on","gym machine weight stack side view","flat single-colour silhouette, no gradient, no text, legible at 24 px","original, this project",specified
comfort-3-freeweights,"setup step 4","Gym comfort slider, highest level","a person at lockout of a standing overhead press","person overhead press barbell lockout","flat single-colour silhouette, no gradient, no text, legible at 24 px","original, this project",specified
equip-1-bodyweight,"setup step 4","Equipment slider, tier 1","a floor mat rolled at one end","yoga mat rolled floor exercise","flat single-colour silhouette, no gradient, no text, legible at 24 px","original, this project",specified
equip-2-home-bodyweight,"setup step 4","Equipment slider, tier 2","a dumbbell beside a skipping rope","dumbbell skipping rope home combination","flat single-colour silhouette, no gradient, no text, legible at 24 px","original, this project",specified
equip-3-home,"setup step 4","Equipment slider, tier 3","a pair of dumbbells on a rack","dumbbell pair small rack home","flat single-colour silhouette, no gradient, no text, legible at 24 px","original, this project",specified
equip-4-full-home,"setup step 4","Equipment slider, tier 4","a barbell rack beside a single dumbbell","barbell rack dumbbell split week","flat single-colour silhouette, no gradient, no text, legible at 24 px","original, this project",specified
equip-5-full-gym,"setup step 4","Equipment slider, tier 5","a loaded barbell on a squat rack","squat rack loaded barbell gym","flat single-colour silhouette, no gradient, no text, legible at 24 px","original, this project",specified
tape-neck,"setup step 3","Tape measurement, neck site","a neck in profile with a tape band below the larynx","neck profile tape measure line","black line drawing, no fill, no text, 2 px stroke","original, this project",specified
tape-abdomen-male,"setup step 3","Tape measurement, Abdomen II","a torso with a horizontal tape band at the umbilicus","male torso tape umbilicus horizontal","black line drawing, no fill, no text, 2 px stroke","original, this project",specified
tape-abdomen-female,"setup step 3","Tape measurement, Abdomen I","a torso with a horizontal tape band at minimal width","female torso tape minimal width","black line drawing, no fill, no text, 2 px stroke","original, this project",specified
tape-hip,"setup step 3","Tape measurement, hip site","a hip in profile with a tape band at greatest protrusion","hip profile tape greatest protrusion","black line drawing, no fill, no text, 2 px stroke","original, this project",specified
bf-male-10,"setup step 3","Body-fat estimate chart, male row","a male torso at about 10 percent body fat","male torso lean visible abdominals","flat silhouette, front view, uniform lighting, no face, no text","original, this project",specified
bf-male-15,"setup step 3","Body-fat estimate chart, male row","a male torso at about 15 percent body fat","male torso athletic slight definition","flat silhouette, front view, uniform lighting, no face, no text","original, this project",specified
bf-male-20,"setup step 3","Body-fat estimate chart, male row","a male torso at about 20 percent body fat","male torso average soft midsection","flat silhouette, front view, uniform lighting, no face, no text","original, this project",specified
bf-male-25,"setup step 3","Body-fat estimate chart, male row","a male torso at about 25 percent body fat","male torso fuller waist rounded","flat silhouette, front view, uniform lighting, no face, no text","original, this project",specified
bf-male-30,"setup step 3","Body-fat estimate chart, male row","a male torso at about 30 percent body fat","male torso broad waist rounded","flat silhouette, front view, uniform lighting, no face, no text","original, this project",specified
bf-male-35,"setup step 3","Body-fat estimate chart, male row","a male torso at about 35 percent body fat","male torso large waist rounded","flat silhouette, front view, uniform lighting, no face, no text","original, this project",specified
bf-female-15,"setup step 3","Body-fat estimate chart, female row","a female torso at about 15 percent body fat","female torso very lean athletic","flat silhouette, front view, uniform lighting, no face, no text","original, this project",specified
bf-female-20,"setup step 3","Body-fat estimate chart, female row","a female torso at about 20 percent body fat","female torso lean athletic defined","flat silhouette, front view, uniform lighting, no face, no text","original, this project",specified
bf-female-25,"setup step 3","Body-fat estimate chart, female row","a female torso at about 25 percent body fat","female torso average healthy soft","flat silhouette, front view, uniform lighting, no face, no text","original, this project",specified
bf-female-30,"setup step 3","Body-fat estimate chart, female row","a female torso at about 30 percent body fat","female torso fuller hips waist","flat silhouette, front view, uniform lighting, no face, no text","original, this project",specified
bf-female-35,"setup step 3","Body-fat estimate chart, female row","a female torso at about 35 percent body fat","female torso broad hips rounded","flat silhouette, front view, uniform lighting, no face, no text","original, this project",specified
bf-female-40,"setup step 3","Body-fat estimate chart, female row","a female torso at about 40 percent body fat","female torso large rounded midsection","flat silhouette, front view, uniform lighting, no face, no text","original, this project",specified
sprite-subsection-marker,"unknown, see ledger row for r2.12","inline glyph beside a subsection heading, text-height","an ORIGINAL pixel-art character wearing a black bob haircut and eyeglasses. Round-2 feedback (r2.12) named a real public figure and a meme as reference; that likeness cannot ship, so this depicts an invented character wearing the same two visual traits (bob, eyeglasses) with no other resemblance","original pixel character bob haircut eyeglasses text-height inline glyph","house pixel-art register matching the limelight icon bank, single colour or the bank's existing palette, sized to sit inline at text cap-height, no text, no likeness of any named or real person","original, this project",needs-decision
reset-cookies-icon,"unknown, see ledger row for r2.19","control for the browser cookies-and-site-data reset action","owner-supplied — the owner said he will provide this asset himself (r2.19); do not generate or draw it","N/A, owner-supplied","N/A, owner-supplied — track so nobody drafts a duplicate","owner-supplied",owner-supplied
